1|1|10|2026-05-01|2026-05-07|2026-05-07|300.0|35068|35953|CLOSED|1|1|1,2
2|2|11|2026-05-03|2026-05-07|2026-05-07|300.0|75068|75566|CLOSED|2|4|2
3|3|12|2026-05-05|2026-05-10|2026-05-10|250.0|31330|32171|CLOSED|3|6|3
4|4|13|2026-05-07|2026-05-14|2026-05-14|250.0|20809|21559|CLOSED|4|8|4,5
5|5|14|2026-05-09|2026-05-16|2026-05-16|300.0|50578|51162|CLOSED|5|10|5
6|6|10|2026-05-11|2026-05-16|2026-05-16|350.0|45201|45906|CLOSED|6|12|1
7|7|11|2026-05-13|2026-05-15|2026-05-15|300.0|50821|51371|CLOSED|7|14|2,3
8|8|12|2026-05-15|2026-05-18|2026-05-18|350.0|60585|60787|CLOSED|8|16|3
9|9|13|2026-05-17|2026-05-19|2026-05-19|300.0|35299|35587|CLOSED|9|19|4
10|10|14|2026-05-19|2026-05-26|2026-05-26|300.0|46829|47268|CLOSED|10|21|5,1
11|11|10|2026-05-21|2026-05-28|2026-05-28|250.0|53611|53803|CLOSED|11|23|1
12|12|11|2026-05-23|2026-05-28|2026-05-28|250.0|59934|60284|CLOSED|12|25|2
13|13|12|2026-05-25|2026-05-29|2026-05-29|300.0|40059|40719|CLOSED|13|27|3,4
14|14|13|2026-05-27|2026-05-29|2026-05-29|350.0|42356|42968|CLOSED|14|29|4
15|15|14|2026-05-29|2026-06-03|2026-06-03|250.0|38419|39005|CLOSED|15|31|5
16|16|10|2026-05-31|2026-06-06|2026-06-06|300.0|23384|23579|CLOSED|16|34|1,2
17|17|11|2026-06-02|2026-06-09|2026-06-09|350.0|29668|29797|CLOSED|17|36|2
18|18|12|2026-06-04|2026-06-08|2026-06-08|350.0|31534|32093|CLOSED|18|38|3
19|19|13|2026-06-06|2026-06-09|2026-06-09|250.0|58934|59670|CLOSED|19|40|4,5
20|20|14|2026-06-08|2026-06-10|2026-06-10|350.0|35902|36403|CLOSED|20|42|5
21|21|10|2026-06-10|2026-06-13|2026-06-13|350.0|45552|46265|CLOSED|21|44|1
22|22|11|2026-06-12|2026-06-17|2026-06-17|300.0|38107|38985|CLOSED|22|46|2,3
23|23|12|2026-06-14|2026-06-19|2026-06-19|350.0|12252|13060|CLOSED|23|49|3
24|24|13|2026-06-16|2026-06-18|2026-06-18|350.0|17272|17443|CLOSED|24|51|4
25|25|14|2026-06-18|2026-06-23|2026-06-23|250.0|71780|72527|CLOSED|25|53|5,1
26|26|10|2026-06-20|2026-06-23|2026-06-23|350.0|80187|80521|CLOSED|26|55|1
27|27|11|2026-06-22|2026-06-25|2026-06-25|350.0|71365|71501|CLOSED|27|57|2
28|28|12|2026-06-24|2026-06-30|2026-06-30|250.0|22100|22682|CLOSED|28|59|3,4
29|29|13|2026-06-26|2026-06-28|2026-06-28|350.0|18847|19544|CLOSED|29|61|4
30|30|14|2026-06-28|2026-07-01|2026-07-01|350.0|61850|62457|CLOSED|30|64|5
31|31|10|2026-06-30|2026-07-04|2026-07-04|250.0|72247|72481|CLOSED|31|66|1,2
32|32|11|2026-07-02|2026-07-04|2026-07-04|350.0|28530|29408|CLOSED|32|68|2
33|33|12|2026-07-04|2026-07-09|2026-07-09|350.0|33098|33941|CLOSED|33|70|3
34|34|13|2026-07-06|2026-07-11|2026-07-11|350.0|10743|11511|CLOSED|34|72|4,5
35|35|14|2026-07-08|2026-07-11|2026-07-11|250.0|58488|59121|CLOSED|35|74|5
36|36|10|2026-07-10|2026-07-14|2026-07-14|300.0|36538|37212|CLOSED|36|76|1
37|37|11|2026-07-12|2026-07-17|2026-07-17|250.0|84129|84385|CLOSED|37|79|2,3
38|38|12|2026-07-14|2026-07-20|2026-07-20|250.0|8432|9140|CLOSED|38|81|3
39|39|13|2026-07-16|2026-07-19|2026-07-19|250.0|89603|90503|CLOSED|39|83|4
40|40|14|2026-07-18|2026-07-22|2026-07-22|350.0|58268|58524|CLOSED|40|85|5,1
41|41|10|2026-07-20|2026-07-23|2026-07-23|350.0|38211|38679|CLOSED|41|87|1
42|42|11|2026-07-22|2026-07-29|2026-07-29|350.0|52452|53137|CLOSED|42|89|2
43|43|12|2026-07-24|2026-07-27||300.0|16204|0|ACTIVE|0|91|3,4
44|44|13|2026-07-26|2026-07-30||300.0|64567|0|ACTIVE|0|92|4
45|45|14|2026-07-28|2026-08-01||350.0|23281|0|ACTIVE|0|93|5
46|46|10|2026-07-30|2026-08-01||300.0|79193|0|ACTIVE|0|94|1,2
47|47|11|2026-08-01|2026-08-03||300.0|54838|0|ACTIVE|0|95|2
48|48|12|2026-08-03|2026-08-05|2026-05-04|300.0|82081|82100|CLOSED|45|96|3
49|49|13|2026-08-05|2026-08-11||350.0|25926|0|ACTIVE|0|97|4,5
50|50|14|2026-08-07|2026-08-14||350.0|71551|0|ACTIVE|0|98|5
51|51|10|2026-08-09|2026-08-15||350.0|21608|0|ACTIVE|0|99|1
52|52|11|2026-08-11|2026-08-18||350.0|49986|0|ACTIVE|0|100|2,3
53|53|12|2026-08-13|2026-08-16||250.0|49921|0|ACTIVE|0|101|3
54|54|13|2026-08-15|2026-08-22||250.0|16839|0|ACTIVE|0|102|4
55|55|14|2026-08-17|2026-08-22||250.0|71938|0|ACTIVE|0|103|5,1
56|82|10|2026-05-05|2026-05-08|2026-05-04|0.0|14754|15000|CLOSED|43|0|4
57|81|10|2026-05-04|2026-05-07|2026-05-04|300.0|60585|100000|CLOSED|44|175|1,2
58|83|10|2026-05-05|2026-05-08|2026-05-04|300.0|84129|84300|CLOSED|46|180|
59|84|10|2026-05-05|2026-05-08|2026-05-04|300.0|35656|36000|CLOSED|47|183|4
60|86|10|2026-05-05|2026-05-08|2026-05-04|300.0|66791|67000|CLOSED|48|187|
61|87|35|2026-05-05|2026-05-08|2026-05-04|300.0|83800|84000|CLOSED|49|190|
