1|1|105|2026-05-01|2026-05-07|COMPLETED|150.0|300.0|104|1|1,2
2|2|106|2026-05-03|2026-05-07|COMPLETED|120.0|300.0|105|2|2
3|3|107|2026-05-05|2026-05-10|COMPLETED|80.0|250.0|106|3|3
4|4|108|2026-05-07|2026-05-14|COMPLETED|80.0|250.0|107|4|4,5
5|5|109|2026-05-09|2026-05-16|COMPLETED|100.0|300.0|108|5|5
6|6|110|2026-05-11|2026-05-16|COMPLETED|100.0|350.0|109|6|1
7|7|111|2026-05-13|2026-05-15|COMPLETED|80.0|300.0|110|7|2,3
8|8|112|2026-05-15|2026-05-18|COMPLETED|150.0|350.0|111|8|3
9|9|113|2026-05-17|2026-05-19|COMPLETED|150.0|300.0|112|9|4
10|10|114|2026-05-19|2026-05-26|COMPLETED|120.0|300.0|113|10|5,1
11|11|115|2026-05-21|2026-05-28|COMPLETED|100.0|250.0|114|11|1
12|12|116|2026-05-23|2026-05-28|COMPLETED|80.0|250.0|115|12|2
13|13|117|2026-05-25|2026-05-29|COMPLETED|150.0|300.0|116|13|3,4
14|14|118|2026-05-27|2026-05-29|COMPLETED|120.0|350.0|117|14|4
15|15|119|2026-05-29|2026-06-03|COMPLETED|100.0|250.0|118|15|5
16|16|120|2026-05-31|2026-06-06|COMPLETED|120.0|300.0|119|16|1,2
17|17|121|2026-06-02|2026-06-09|COMPLETED|120.0|350.0|120|17|2
18|18|122|2026-06-04|2026-06-08|COMPLETED|100.0|350.0|121|18|3
19|19|123|2026-06-06|2026-06-09|COMPLETED|120.0|250.0|122|19|4,5
20|20|124|2026-06-08|2026-06-10|COMPLETED|120.0|350.0|123|20|5
21|21|125|2026-06-10|2026-06-13|COMPLETED|150.0|350.0|124|21|1
22|22|126|2026-06-12|2026-06-17|COMPLETED|120.0|300.0|125|22|2,3
23|23|127|2026-06-14|2026-06-19|COMPLETED|100.0|350.0|126|23|3
24|24|128|2026-06-16|2026-06-18|COMPLETED|120.0|350.0|127|24|4
25|25|129|2026-06-18|2026-06-23|COMPLETED|150.0|250.0|128|25|5,1
26|26|130|2026-06-20|2026-06-23|COMPLETED|120.0|350.0|129|26|1
27|27|131|2026-06-22|2026-06-25|COMPLETED|120.0|350.0|130|27|2
28|28|132|2026-06-24|2026-06-30|COMPLETED|80.0|250.0|131|28|3,4
29|29|133|2026-06-26|2026-06-28|COMPLETED|80.0|350.0|132|29|4
30|30|134|2026-06-28|2026-07-01|COMPLETED|100.0|350.0|133|30|5
31|31|135|2026-06-30|2026-07-04|COMPLETED|100.0|250.0|134|31|1,2
32|32|136|2026-07-02|2026-07-04|COMPLETED|100.0|350.0|135|32|2
33|33|137|2026-07-04|2026-07-09|COMPLETED|150.0|350.0|136|33|3
34|34|138|2026-07-06|2026-07-11|COMPLETED|150.0|350.0|137|34|4,5
35|35|139|2026-07-08|2026-07-11|COMPLETED|150.0|250.0|138|35|5
36|36|140|2026-07-10|2026-07-14|COMPLETED|80.0|300.0|139|36|1
37|37|141|2026-07-12|2026-07-17|COMPLETED|120.0|250.0|140|37|2,3
38|38|142|2026-07-14|2026-07-20|COMPLETED|150.0|250.0|141|38|3
39|39|143|2026-07-16|2026-07-19|COMPLETED|100.0|250.0|142|39|4
40|40|144|2026-07-18|2026-07-22|COMPLETED|150.0|350.0|143|40|5,1
41|41|145|2026-07-20|2026-07-23|COMPLETED|150.0|350.0|144|41|1
42|42|146|2026-07-22|2026-07-29|COMPLETED|100.0|350.0|145|42|2
43|43|147|2026-07-24|2026-07-27|CONFIRMED|100.0|300.0|146|43|3,4
44|44|148|2026-07-26|2026-07-30|CONFIRMED|120.0|300.0|147|44|4
45|45|149|2026-07-28|2026-08-01|CONFIRMED|80.0|350.0|148|45|5
46|46|150|2026-07-30|2026-08-01|CONFIRMED|150.0|300.0|149|46|1,2
47|47|151|2026-08-01|2026-08-03|CONFIRMED|120.0|300.0|150|47|2
48|48|152|2026-08-03|2026-08-05|COMPLETED|80.0|300.0|151|48|3
49|49|153|2026-08-05|2026-08-11|CONFIRMED|80.0|350.0|152|49|4,5
50|50|154|2026-08-07|2026-08-14|CONFIRMED|120.0|350.0|153|50|5
51|51|155|2026-08-09|2026-08-15|CONFIRMED|100.0|350.0|154|51|1
52|52|156|2026-08-11|2026-08-18|CONFIRMED|100.0|350.0|155|52|2,3
53|53|157|2026-08-13|2026-08-16|CONFIRMED|150.0|250.0|156|53|3
54|54|158|2026-08-15|2026-08-22|CONFIRMED|100.0|250.0|157|54|4
55|55|159|2026-08-17|2026-08-22|CONFIRMED|120.0|250.0|158|55|5,1
56|56|160|2026-08-19|2026-08-23|PENDING|0.0|350.0|0|0|1
57|57|161|2026-08-21|2026-08-25|CANCELLED|100.0|350.0|159|0|2
58|58|162|2026-08-23|2026-08-29|CONFIRMED|80.0|350.0|160|0|3,4
59|59|163|2026-08-25|2026-08-31|PENDING|0.0|250.0|0|0|4
60|60|164|2026-08-27|2026-08-31|CANCELLED|100.0|300.0|161|0|5
61|61|165|2026-08-29|2026-09-04|CONFIRMED|150.0|250.0|162|0|1,2
62|62|166|2026-08-31|2026-09-04|PENDING|0.0|300.0|0|0|2
63|63|167|2026-09-02|2026-09-07|CANCELLED|150.0|300.0|163|0|3
64|64|168|2026-09-04|2026-09-11|CONFIRMED|150.0|300.0|164|0|4,5
65|65|169|2026-09-06|2026-09-09|PENDING|0.0|250.0|0|0|5
66|66|170|2026-09-08|2026-09-11|CANCELLED|80.0|300.0|165|0|1
67|67|171|2026-09-10|2026-09-12|CONFIRMED|150.0|300.0|166|0|2,3
68|68|172|2026-09-12|2026-09-18|PENDING|0.0|350.0|0|0|3
69|69|173|2026-09-14|2026-09-16|CANCELLED|150.0|350.0|167|0|4
70|70|174|2026-09-16|2026-09-22|CONFIRMED|80.0|250.0|168|0|5,1
71|71|175|2026-09-18|2026-09-25|PENDING|0.0|350.0|0|0|1
72|72|176|2026-09-20|2026-09-22|CANCELLED|120.0|350.0|169|0|2
73|73|177|2026-09-22|2026-09-26|CONFIRMED|150.0|250.0|170|0|3,4
74|74|178|2026-09-24|2026-09-29|PENDING|0.0|350.0|0|0|4
75|75|179|2026-09-26|2026-09-29|CANCELLED|150.0|250.0|171|0|5
76|76|180|2026-09-28|2026-10-01|CONFIRMED|120.0|300.0|172|0|1,2
77|77|181|2026-09-30|2026-10-06|PENDING|0.0|350.0|0|0|2
78|78|182|2026-10-02|2026-10-09|CANCELLED|120.0|250.0|173|0|3
79|79|183|2026-10-04|2026-10-11|CONFIRMED|120.0|300.0|174|0|4,5
80|80|184|2026-10-06|2026-10-13|PENDING|0.0|350.0|0|0|5
81|1|112|2026-05-04|2026-05-07|COMPLETED|0.0|300.0|0|57|1,2
82|1|202|2026-05-05|2026-05-08|COMPLETED|0.0|0.0|0|56|4
83|1|141|2026-05-05|2026-05-08|COMPLETED|0.0|300.0|0|58|
84|1|192|2026-05-05|2026-05-08|COMPLETED|480.0|300.0|182|59|4
85|1|211|2026-05-05|2026-05-08|CANCELLED|219.45|300.0|185|0|
86|1|211|2026-05-05|2026-05-08|COMPLETED|219.45|300.0|186|60|
87|1|201|2026-05-05|2026-05-08|COMPLETED|179.55|300.0|189|61|
88|1|121|2026-05-05|2026-05-08|COMPLETED|245.25|300.0|192|62|1,3
89|1|161|2026-05-06|2026-05-09|COMPLETED|271.2|300.0|195|63|3,2
