1|1|1|354.0|180.0|75.0|17.7|616.3|0.0|25.0|2,3
2|2|0|484.0|0.0|20.0|24.2|504.8|0.0|25.0|5
3|3|0|490.0|0.0|62.5|24.5|528.0|0.0|0.0|7
4|4|2|1008.0|320.0|98.0|50.4|1415.6|0.0|40.0|9
5|5|0|546.0|0.0|56.0|27.3|599.7|0.0|25.0|11
6|6|0|440.0|0.0|37.5|44.0|458.5|0.0|25.0|13
7|7|3|182.0|120.0|35.0|9.1|367.9|0.0|40.0|15
8|8|0|462.0|0.0|37.5|0.0|539.5|0.0|40.0|17,18
9|9|0|158.0|0.0|12.0|15.8|179.2|0.0|25.0|20
10|10|4|637.0|120.0|108.5|31.9|858.6|0.0|25.0|22
11|11|0|749.0|0.0|52.5|74.9|766.6|0.0|40.0|24
12|12|0|910.0|0.0|25.0|0.0|935.0|0.0|0.0|26
13|13|5|224.0|180.0|74.0|11.2|466.8|0.0|0.0|28
14|14|0|184.0|0.0|12.0|0.0|196.0|0.0|0.0|30
15|15|0|630.0|0.0|40.0|63.0|607.0|0.0|0.0|32,33
16|16|6|1086.0|180.0|75.0|0.0|1381.0|0.0|40.0|35
17|17|0|455.0|0.0|35.0|0.0|490.0|0.0|0.0|37
18|18|0|400.0|0.0|50.0|40.0|435.0|0.0|25.0|39
19|19|7|252.0|250.0|42.0|25.2|558.8|0.0|40.0|41
20|20|0|264.0|0.0|16.0|0.0|280.0|0.0|0.0|43
21|21|0|141.0|0.0|22.5|7.1|156.4|0.0|0.0|45
22|22|8|505.0|320.0|87.5|50.5|887.0|0.0|25.0|47,48
23|23|0|595.0|0.0|62.5|0.0|657.5|0.0|0.0|50
24|24|0|362.0|0.0|12.0|0.0|399.0|0.0|25.0|52
25|25|9|225.0|120.0|77.5|11.2|411.3|0.0|0.0|54
26|26|0|279.0|0.0|22.5|14.0|287.5|0.0|0.0|56
27|27|0|366.0|0.0|15.0|0.0|406.0|0.0|25.0|58
28|28|10|1080.0|120.0|111.0|54.0|1257.0|0.0|0.0|60
29|29|0|152.0|0.0|12.0|7.6|196.4|0.0|40.0|62,63
30|30|0|291.0|0.0|24.0|14.6|300.4|0.0|0.0|65
31|31|11|452.0|180.0|50.0|0.0|682.0|0.0|0.0|67
32|32|0|332.0|0.0|10.0|33.2|308.8|0.0|0.0|69
33|33|0|430.0|0.0|62.5|21.5|496.0|0.0|25.0|71
34|34|12|570.0|120.0|70.0|0.0|785.0|0.0|25.0|73
35|35|0|315.0|0.0|24.0|15.8|323.2|0.0|0.0|75
36|36|0|656.0|0.0|30.0|32.8|653.2|0.0|0.0|77,78
37|37|13|360.0|180.0|87.5|0.0|627.5|0.0|0.0|80
38|38|0|630.0|0.0|75.0|31.5|698.5|0.0|25.0|82
39|39|0|387.0|0.0|18.0|38.7|406.3|0.0|40.0|84
40|40|14|660.0|320.0|62.0|66.0|976.0|0.0|0.0|86
41|41|0|183.0|0.0|22.5|9.2|196.3|0.0|0.0|88
42|42|0|749.0|0.0|35.0|74.9|709.1|0.0|0.0|90
43|56|15|288.0|1500.0|18.0|0.0|1806.0|0.0|0.0|
44|57|19|462.0|500.0|37.5|0.0|118344.5|0.0|117345.0|176,177
45|48|0|310.0|0.0|25.0|0.0|335.0|0.0|0.0|178,179
46|58|0|216.0|0.0|0.0|0.0|216.0|0.0|0.0|181
47|59|0|462.0|0.0|18.0|0.0|612.0|0.0|132.0|182,184
48|60|20|231.0|100.0|0.0|11.55|319.45|0.0|0.0|186,188
49|61|0|189.0|0.0|0.0|9.450000000000001|179.55|0.0|0.0|189,191
